ts,action,side,requested_position_ratio,filled_position_ratio,price,fee,slippage,notional,margin_required,realized_pnl,reason_code
2026-01-14 00:00:00+00:00,HOLD,LONG,0.050288261473178865,0.050288261473178865,95394.27504,8.230609178543091e-05,2.0,1.0057652294635773,0.050288261473178865,0.0,HOLD_SLOW_UPTREND
2026-01-14 01:00:00+00:00,HOLD,LONG,0.05064612627029419,0.05064612627029419,95215.23924,8.516901016235351e-05,2.0,1.0129225254058838,0.05064612627029419,0.0,HOLD_SLOW_UPTREND
2026-01-14 02:00:00+00:00,HOLD,LONG,0.05095231384038926,0.05095231384038926,95210.43827999999,8.761851072311406e-05,2.0,1.019046276807785,0.05095231384038926,0.0,HOLD_SLOW_UPTREND
2026-01-14 03:00:00+00:00,HOLD,LONG,0.05118817389011383,0.05118817389011383,95319.06,8.950539112091066e-05,2.0,1.0237634778022766,0.05118817389011383,0.0,HOLD_SLOW_UPTREND
2026-01-14 04:00:00+00:00,HOLD,LONG,0.05147513896226883,0.05147513896226883,95684.73312,9.180111169815064e-05,2.0,1.0295027792453766,0.05147513896226883,0.0,HOLD_SLOW_UPTREND
2026-01-14 05:00:00+00:00,HOLD,LONG,0.05172367244958878,0.05172367244958878,95211.23844,9.378937959671025e-05,2.0,1.0344734489917755,0.05172367244958878,0.0,HOLD_SLOW_UPTREND
2026-01-14 06:00:00+00:00,HOLD,LONG,0.05334399938583374,0.05334399938583374,94982.09262000001,0.00010675199508666995,2.0,1.0668799877166748,0.05334399938583374,0.0,HOLD_SLOW_UPTREND
2026-01-14 07:00:00+00:00,HOLD,LONG,0.05364797413349152,0.05364797413349152,95003.69694,0.00010918379306793213,2.0,1.0729594826698303,0.05364797413349152,0.0,HOLD_SLOW_UPTREND
2026-01-14 08:00:00+00:00,HOLD,LONG,0.05323152542114258,0.05323152542114258,95185.63332000001,0.00010585220336914065,2.0,1.0646305084228516,0.05323152542114258,0.0,HOLD_SLOW_UPTREND
2026-01-14 09:00:00+00:00,HOLD,LONG,0.05175896584987641,0.05175896584987641,94885.17323999999,9.407172679901126e-05,2.0,1.035179316997528,0.05175896584987641,0.0,HOLD_SLOW_UPTREND
2026-01-14 10:00:00+00:00,HOLD,LONG,0.05300490111112595,0.05300490111112595,95070.5103,0.0001040392088890076,2.0,1.060098022222519,0.05300490111112595,0.0,HOLD_SLOW_UPTREND
2026-01-14 11:00:00+00:00,HOLD,LONG,0.052657152712345126,0.052657152712345126,95069.01,0.00010125722169876102,2.0,1.0531430542469025,0.052657152712345126,0.0,HOLD_SLOW_UPTREND
2026-01-14 12:00:00+00:00,REDUCE,LONG,0.038,0.038,94782.65273999999,1.6000000000000013e-05,2.0,0.76,0.038,0.0,REDUCE_TREND_EXHAUSTION
2026-01-14 13:00:00+00:00,HOLD,LONG,0.052340589463710785,0.052340589463710785,95060.5083,0.00011472471570968628,2.0,1.0468117892742157,0.052340589463710785,0.0,HOLD_SLOW_UPTREND
2026-01-14 14:00:00+00:00,HOLD,LONG,0.051880805194377905,0.051880805194377905,94983.29286,0.00011104644155502324,2.0,1.037616103887558,0.051880805194377905,0.0,HOLD_SLOW_UPTREND
2026-01-14 15:00:00+00:00,REDUCE,LONG,0.0266,0.0266,96468.2898,9.120000000000001e-05,2.0,0.532,0.0266,0.0,REDUCE_SLOW_UP_PROFIT_LOCK
2026-01-14 16:00:00+00:00,HOLD,LONG,0.050311829149723056,0.050311829149723056,96711.23838,0.00018969463319778445,2.0,1.006236582994461,0.050311829149723056,0.0,HOLD_SLOW_UP_RUNNER
2026-01-14 17:00:00+00:00,HOLD,LONG,0.05001922696828842,0.05001922696828842,97251.54642,0.00018735381574630738,2.0,1.0003845393657684,0.05001922696828842,0.0,HOLD_SLOW_UP_RUNNER
2026-01-14 18:00:00+00:00,HOLD,LONG,0.05051215440034867,0.05051215440034867,96914.47902,0.00019129723520278934,2.0,1.0102430880069733,0.05051215440034867,0.0,HOLD_SLOW_UP_RUNNER
2026-01-14 19:00:00+00:00,HOLD,LONG,0.05013016760349274,0.05013016760349274,96783.8529,0.00018824134082794192,2.0,1.0026033520698547,0.05013016760349274,0.0,HOLD_SLOW_UP_RUNNER
2026-01-14 20:00:00+00:00,HOLD,LONG,0.05075211375951767,0.05075211375951767,97241.24436,0.0001932169100761414,2.0,1.0150422751903534,0.05075211375951767,0.0,HOLD_SLOW_UP_RUNNER
2026-01-14 21:00:00+00:00,HOLD,LONG,0.05120526850223542,0.05120526850223542,97625.5212,0.00019684214801788335,2.0,1.0241053700447083,0.05120526850223542,0.0,HOLD_SLOW_UP_RUNNER
2026-01-14 22:00:00+00:00,HOLD,LONG,0.05167751610279084,0.05167751610279084,97534.503,0.00020062012882232673,2.0,1.0335503220558167,0.05167751610279084,0.0,HOLD_SLOW_UP_RUNNER
2026-01-14 23:00:00+00:00,HOLD,LONG,0.051641592383384706,0.051641592383384706,96844.96512000001,0.00020033273906707767,2.0,1.032831847667694,0.051641592383384706,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 00:00:00+00:00,HOLD,LONG,0.05420104563236237,0.05420104563236237,96927.3816,0.00022080836505889895,2.0,1.0840209126472473,0.05420104563236237,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 01:00:00+00:00,HOLD,LONG,0.05354086458683014,0.05354086458683014,96632.62266,0.00021552691669464116,2.0,1.0708172917366028,0.05354086458683014,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 02:00:00+00:00,HOLD,LONG,0.05357460677623749,0.05357460677623749,96419.28,0.0002157968542098999,2.0,1.0714921355247498,0.05357460677623749,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 03:00:00+00:00,HOLD,LONG,0.05082666128873825,0.05082666128873825,96316.45943999999,0.000193813290309906,2.0,1.016533225774765,0.05082666128873825,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 04:00:00+00:00,HOLD,LONG,0.050911700725555425,0.050911700725555425,95962.28862,0.0001944936058044434,2.0,1.0182340145111084,0.050911700725555425,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 05:00:00+00:00,HOLD,LONG,0.05190321058034897,0.05190321058034897,96292.65467999999,0.00020242568464279173,2.0,1.0380642116069794,0.05190321058034897,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 06:00:00+00:00,HOLD,LONG,0.05456369370222092,0.05456369370222092,96391.87452,0.0002237095496177673,2.0,1.0912738740444183,0.05456369370222092,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 07:00:00+00:00,HOLD,LONG,0.05414420068264008,0.05414420068264008,96214.43904,0.00022035360546112065,2.0,1.0828840136528015,0.05414420068264008,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 08:00:00+00:00,HOLD,LONG,0.05461334139108658,0.05461334139108658,96620.52024,0.00022410673112869265,2.0,1.0922668278217316,0.05461334139108658,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 09:00:00+00:00,HOLD,LONG,0.05343381762504578,0.05343381762504578,96615.41922000001,0.00021467054100036625,2.0,1.0686763525009155,0.05343381762504578,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 10:00:00+00:00,HOLD,LONG,0.05225202292203904,0.05225202292203904,97013.29878,0.00020521618337631233,2.0,1.0450404584407806,0.05225202292203904,0.0,HOLD_SLOW_UP_RUNNER
