time,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,close_time,amount
2025-11-23 16:00:00+00:00,87042.8,87472.0,86632.9,86647.4,9393.025,818506080.4276,219693,4765.999,415403970.1519,2025-11-23 16:59:59.999000+00:00,818506080.4276
2025-11-23 17:00:00+00:00,86647.4,86920.4,86458.0,86699.4,5181.512,449062416.1885,162958,2565.595,222370732.6203,2025-11-23 17:59:59.999000+00:00,449062416.1885
2025-11-23 18:00:00+00:00,86699.4,87223.3,86673.5,86950.8,3789.934,329599369.033,126184,2010.654,174862519.6815,2025-11-23 18:59:59.999000+00:00,329599369.033
2025-11-23 19:00:00+00:00,86950.7,87653.9,86888.0,87276.7,6178.834,539945791.5004,158171,3259.985,284874220.3567,2025-11-23 19:59:59.999000+00:00,539945791.5004
2025-11-23 20:00:00+00:00,87276.7,87652.9,87175.6,87435.0,4040.626,353337523.949,132366,1989.569,173974913.8888,2025-11-23 20:59:59.999000+00:00,353337523.949
2025-11-23 21:00:00+00:00,87435.1,87950.0,87100.0,87945.0,4281.486,375086712.4489,118620,2421.651,212197805.2641,2025-11-23 21:59:59.999000+00:00,375086712.4489
2025-11-23 22:00:00+00:00,87944.9,88100.0,87511.6,87964.7,5157.216,452861418.9741,142712,2717.77,238693327.8155,2025-11-23 22:59:59.999000+00:00,452861418.9741
2025-11-23 23:00:00+00:00,87964.7,88049.8,86700.0,86807.7,8585.903,747917353.2171,240242,3884.027,338253839.3552,2025-11-23 23:59:59.999000+00:00,747917353.2171
2025-11-24 00:00:00+00:00,86807.6,87189.1,85915.0,86701.8,12992.239,1123754092.2098,335499,6306.745,545641166.1167,2025-11-24 00:59:59.999000+00:00,1123754092.2098
2025-11-24 01:00:00+00:00,86701.7,87054.0,86360.9,87033.6,6912.366,599215609.8034,239260,3513.148,304543413.95,2025-11-24 01:59:59.999000+00:00,599215609.8034
2025-11-24 02:00:00+00:00,87033.6,88049.5,86976.8,87483.6,12188.227,1067579876.6749,350161,6362.629,557215484.7034,2025-11-24 02:59:59.999000+00:00,1067579876.6749
2025-11-24 03:00:00+00:00,87483.6,87756.4,87150.7,87408.8,4665.881,407965970.4513,173000,2296.996,200864161.1637,2025-11-24 03:59:59.999000+00:00,407965970.4513
2025-11-24 04:00:00+00:00,87408.7,87555.4,86400.0,86682.7,7476.253,648870380.6836,232340,3223.992,279787678.8412,2025-11-24 04:59:59.999000+00:00,648870380.6836
2025-11-24 05:00:00+00:00,86682.6,87795.9,86624.6,87425.3,7194.677,628818481.0501,228620,3746.233,327373485.0409,2025-11-24 05:59:59.999000+00:00,628818481.0501
2025-11-24 06:00:00+00:00,87425.4,87475.1,86736.9,86862.1,6034.819,524958326.4285,192925,2807.845,244265706.8552,2025-11-24 06:59:59.999000+00:00,524958326.4285
2025-11-24 07:00:00+00:00,86862.1,87311.1,86642.1,87004.6,5389.417,468564750.7352,177786,2739.724,238199946.0968,2025-11-24 07:59:59.999000+00:00,468564750.7352
2025-11-24 08:00:00+00:00,87004.6,87004.6,86674.4,86916.5,3807.19,330511135.247,151070,1856.611,161176934.4062,2025-11-24 08:59:59.999000+00:00,330511135.247
